ids,intents,sentences,sentence_orgin
9024,calendar_set,biến cố ,event
7874,calendar_set,Tôi cần một sự kiện ba ngày kể từ bây giờ theo lịch trình với Amy ,i need an event three days from now scheduled with amy
5822,audio_volume_up,vặn to lên ,turn up
5013,iot_hue_lightup,Làm sáng đèn một chút ,brighten the lights a little bit
3033,weather_query,Thời tiết hiện tại là gì ,what's the current weather
2831,iot_coffee,Hãy pha cà phê ,please make coffee
5148,audio_volume_mute,chế độ im lặng trong ba giờ tiếp theo ,silent mode on for the next three hours
11236,lists_remove,Loại bỏ thức ăn cho chó khỏi danh sách tạp hóa của tôi ,remove dog food from my grocery list
16742,email_query,Kiểm tra email của tôi cho các email mới trong giờ cuối cùng ,check my email for new emails during the last hour
5172,alarm_set,Hãy đánh thức tôi dậy lúc bảy giờ ba mươi sáng ,please wake me up at seven thirty am
5891,alarm_query,Có bất kỳ báo động nào đặt họ là gì ,are there any alarms set what are they
15135,qa_stock,Là tôi. b. m. cho đến ngày ,is i. b. m. up today
6951,calendar_set,"Tôi muốn bạn nhắc tôi cuộc gặp gỡ tiếp theo với bạn gái của tôi, đó sẽ là lúc tám giờ tối vào Chủ nhật tuần sau ",i want you to remind me the next meeting with my girlfriend it will be at eight pm next sunday
5311,play_music,hey olly chơi chiến thuật chơi nhạc từ âm nhạc ,hey olly play playlist tactics from music
11917,recommendation_events,Tôi cần một cái gì đó vui vẻ để làm cuối tuần này gần đó bạn có thể cho tôi ý tưởng ,i need something fun to do this weekend nearby can you give me ideas
701,weather_query,Kiểm tra thời tiết ,check weather
14842,qa_definition,Transitor là gì ,what is a transistor
7619,calendar_set,Khi nào tôi sẽ gặp Joe tiếp theo ,when will i meet with joe next
4200,alarm_remove,Snooze tất cả các báo động ngày nay vĩnh viễn ,snooze all today's alarms permanently
11461,play_podcasts,Chơi podcast đó ,play that podcast please
7790,calendar_set,xin vui lòng nhắc nhở tôi về mười một cuộc gặp gỡ kinh doanh ,please remind me about the eleven am business meet
15204,social_query,nhắc nhở chương trình trực tiếp ,live show reminders
5542,alarm_query,Xin vui lòng cho tôi biết báo động được giữ cho cuộc họp thứ ba ,please let me know the alarm kept for tuesday's meeting
16235,email_addcontact,Thêm dale @ gmail dot com vào danh bạ của tôi ,add dale@gmail dot com to my contacts
11884,recommendation_events,Những gì đang xảy ra tối nay ở Chicago ,what's happening tonight in chicago
6003,weather_query,Tôi có cần mặc một số quần áo ấm ngày hôm nay không ,do i need to wear some warm clothes today
4952,news_query,tàu đắm ,train wreck
7963,calendar_query,Tôi có lời nhắc sắp tới không ,do i have any upcoming reminders
4649,music_likeness,tôi thích bài hát đó ,i love that song
13745,general_quirky,Bạn có thể đảm bảo rằng bạn có thể chọn số xổ số chiến thắng ,can you guarantee that you can chose the winning lottery numbers
1670,news_query,Facebook ra mắt thẻ tranh chấp để phá vỡ tin tức giả mạo ,facebook launches disputed tag to crack down on fake news
14256,qa_factoid,Tải xuống một số vocab ,download certain vocab
3249,alarm_remove,Hủy báo động lần thứ mười hai nghìn mười bảy ,cancel alarm for tenth of march two thousand seventeen
7452,calendar_set,bạn có thể vui lòng tạo một sự kiện mới trên lịch của tôi ,could you please create a new event on my calendar
6114,takeaway_order,hey đặt hàng một chiếc bánh pizza với thêm phô mai ,hey order a pizza pie with extra cheese
15817,email_query,Bất kỳ email gần đây từ Anna ,any recent emails from anna
9666,play_audiobook,Chơi Audiobook. ,play audiobook
83,iot_cleaning,hey bắt đầu robot máy hút bụi ,hey start vacuum cleaner robot
6197,general_greet,bạn là ai ,who are you
6802,calendar_query,Hãy cho tôi biết các cuộc họp của tôi vào sáng thứ tư này ,tell me my meetings this wednesday morning
4656,alarm_set,Đặt báo thức cho thứ Năm lúc bảy giờ chiều ,set an alarm for thursday at seven pm
7638,calendar_set,Thêm cuộc hẹn nha sĩ cho thứ Sáu lúc năm ,add dentist appointment for friday at five
16845,email_query,Kiểm tra email ngày hôm nay ,check email today
13882,qa_stock,Tôi là gì vậy. b. Giá cổ phiếu của M. ,what are i. b. m.'s stock prices
12567,transport_query,Tôi cần chỉ đường cho lowes trong Mount H NJ ,i need directions to lowes in mount h nj
12493,transport_taxi,Tôi cần một chiếc taxi trong ba mươi phút ,i need a taxi in thirty minutes
6921,calendar_set,Đặt một thông báo cho mười một tháng 3 rằng một cuộc phỏng vấn được lên kế hoạch với ông Rodriguez ,set a notification for eleven march that an interview is scheduled with mr rodriguez
15159,social_query,Tôi có thể biết những gì đang có xu hướng trong facebook ,may i know what is trending in facebook
5078,weather_query,tôi có cần một chiếc áo khoác không ,do i need a coat
16116,email_sendemail,"Từ mười giờ tối đến chín giờ sáng, tất cả các email nhận được là được trả lời ",between ten pm to nine am all emails received is to be replied to
3903,alarm_remove,Vui lòng xóa bộ báo động cho thứ tư được gọi là Kickball ,please remove the alarm set for wednesday called kickball
1485,alarm_query,Liệt kê tất cả các báo động ,list all the alarms
4263,general_joke,Bạn đã nghe thấy bất kỳ những trò đùa tốt gần đây ,have you heard any good jokes lately
11880,recommendation_events,Tôi nên làm gì ở San Diego ,what should i do in san diego
13200,qa_maths,Trả lời câu hỏi toán học này ,answer this mathematical question
9079,calendar_set,Tháng sau sinh nhật anh em tôi ,next month my brothers birthday
15481,social_post,Nhận nó khắc phục nhanh ,get it fast resolved
8599,calendar_set,nhắc nhở tôi vào buổi sáng để gọi mẹ tôi ,remind me in the morning to call my mother
12833,transport_ticket,Alexa đặt cho tôi một vé tàu cho chiều nay đến Chicago ,alexa book me a train ticket for this afternoon to chicago
3476,alarm_set,giúp tôi cài đặt báo thức ,get me to alarm setting
14478,qa_maths,Hai mươi ba lần năm mươi hai là bao nhiêu ,what is twenty three times fifty two
10043,cooking_recipe,Có bao nhiêu cốc đường trong Texas Tấm Frosting ,how many cups of sugar in texas sheet cake frosting
13822,general_quirky,Mr T có gia đình không ,does mr t have a family
