ids,intents,sentences,sentence_orgin
1235,datetime_convert,Thời gian tại Singapore là gì khi thời gian của chúng ta là năm giờ chiều ,what is the time at singapore when our time is five pm
8161,calendar_remove,hủy bỏ kế hoạch của bữa tiệc ,cancel the plan of party
15784,email_query,Olly bất kỳ email mới ,olly any new emails
7994,calendar_remove,Xóa lịch của tôi về tất cả các sự kiện ,clear my calendar of all events
12313,transport_query,Thời gian của Indianapolis express là gì ,what is time of indianapolis express
15925,email_sendemail,Email Family. ,email family
9729,play_music,Vui lòng tiếp tục âm nhạc của tôi ,please resume my music
7779,calendar_query,Tôi có các cuộc hẹn vào tháng ba vào tháng ba không ,do i have any appointments on march thirtieth
4039,takeaway_query,Tôi có thể đặt pizza ở đâu để giao hàng ,where can i order pizza for delivery
4087,music_likeness,Nhạc hay ,nice music
1938,weather_query,Báo cáo thời tiết của Boston ,weather report of boston
11573,recommendation_events,những gì xung quanh tối nay ,what's around tonight
8998,calendar_set,"Vui lòng đặt vào thứ tám tháng 7, có buổi hòa nhạc âm nhạc trong lĩnh vực trắng ",please set on eighth july there is music concert in white field
9100,calendar_remove,Xóa cuộc hẹn của bác sĩ của tôi cho tháng hai mười hai ,delete my doctor's appointment for february twelfth
7964,calendar_query,olly tôi cần biết nếu tôi có bất kỳ lời nhắc mới nào ,olly i need to know if i have any new reminders
14134,qa_definition,cho tôi biết những gì các sinh vật nghĩa là ,tell me what the word organism means
10464,lists_remove,Xóa danh sách sau đây ,delete the following list
775,news_query,Thông báo cho tôi khi Trump có trong tin tức ,notify me when trump is in the news
16142,email_sendemail,Soạn email đến Aran ,compose an email to aran
683,play_music,Bạn có thể chơi bài hát cuối cùng của tôi không ,can you play my last song
7562,calendar_set,Nhắc nhở tôi đến cuộc họp của tôi vào ngày mai ,remind me to go to my meeting tomorrow
8060,calendar_query,Có bao nhiêu người đến với bữa tối tối nay ,how many people are coming to tonight's dinner
13897,qa_currency,Trao đổi euro sang đô la ,exchange euro to dollar
4192,query,Thời gian ở Boston là gì ,what is the time in boston
13661,currency,bao nhiêu euro trong một đô la ,how many euros are in a dollar
9908,play_audiobook,Tiếp tục chiến tranh và hòa bình ,resume war and peace
15985,email_addcontact,Thêm email mới này ,add this new email
10670,lists_remove,Xóa danh sách người bắt đầu từ chữ M trong danh sách liên lạc của tôi ,remove the list of person starting from letter m in my contact list
9456,play_radio,Bạn có thể vui lòng bật NPR ở đâu ,can you please turn on npr where i am
7393,calendar_query,cái gì trên lịch của tôi ,what on my calendar
16088,email_query,Vui lòng cập nhật vào phút cuối về email đến ,give a last minute update on incoming emails please
6340,general_quirky,Hôm nay là một ngày vất vả ,today was a hard day
1975,alarm_query,Tôi đã đặt bất kỳ báo động cho ngày hôm nay ,have i set any alarm for today
3274,takeaway_query,Olly làm rằng nhà hàng Trung Quốc mới cung cấp ,olly does that new chinese restaurant deliver
15959,email_sendemail,Soạn email đến Parisa ,compose an email to parisa
